source_round,source_rank,source_title,source_year,source_category,source_score,source_citationCount,source_seed_hit_count,source_paperId,status,citation_count,reference_count,related_count,error
round2,1,FinBERT: Financial Sentiment Analysis with Pre-trained Language Models,2019,Benchmarks and datasets,83.75,946,15,7102bb3fe73bd057ff161d9db5214a267c1ef312,ok,952,38,990,
round2,3,"A Multimodal Foundation Agent for Financial Trading: Tool-Augmented, Diversified, and Generalist",2024,Financial agents,79.87,152,12,c86a70ff639707e647da3a429fe8e1e5c04415f5,ok,152,66,218,
round2,4,XuanYuan 2.0: A Large Chinese Financial Chat Model with Hundreds of Billions Parameters,2023,Other relevant work,75.81,160,13,6783b17fe4328f48403f57009a73f784de09f645,ok,160,31,191,
round2,5,"Advancing Financial Engineering with Foundation Models: Progress, Applications, and Challenges",2025,Benchmarks and datasets,74.90,3,15,390a6229243d7cc42bf756fc9564b9c48dd43b6f,ok,3,127,130,
round2,7,InvestLM: A Large Language Model for Investment using Financial Domain Instruction Tuning,2023,Trading and investment,70.53,115,10,844bc3b26b5c63ec3b251ae634c194dcfb41a7d2,ok,115,29,144,
round2,8,FinBERT: A Pretrained Language Model for Financial Communications,2020,"Reports, filings, and risk",68.38,347,11,3578a7792904e6af3db8ffefdff86ab6a387c7c3,ok,347,17,364,
round2,9,Revolutionizing Finance with LLMs: An Overview of Applications and Insights,2024,Trading and investment,65.83,163,10,3d6197e4ab55a3a2785ce5934e48cfbe9fe9bf04,ok,163,136,299,
round2,10,Towards Competent AI for Fundamental Analysis in Finance: A Benchmark Dataset and Evaluation,2025,Trading and investment,63.60,1,12,3543d2e5874a9021cf53bb1db33e95af8fd0b924,ok,1,29,30,
round2,11,CFGPT: Chinese Financial Assistant with Large Language Model,2023,Benchmarks and datasets,63.34,20,10,a9eb336485e148d0a3f5010693d7752facba2875,ok,20,41,61,
round2,13,DISC-FinLLM: A Chinese Financial Large Language Model based on Multiple Experts Fine-tuning,2023,Benchmarks and datasets,59.30,78,9,814f0b1658c49c79bc32f3d2b89045de007871c6,ok,78,62,140,
round2,14,LiveTradeBench: Seeking Real-World Alpha with Large Language Models,2025,Financial agents,55.38,10,9,9b8944c299cd7ce32db8bf187b96b508bede49d1,ok,10,85,95,
round2,15,Learning to Trade Like an Expert: Cognitive Fine-Tuning for Stable Financial Reasoning in Language Models,2026,Financial agents,54.60,0,11,2692d9218c08789944132d22a78ec437baffd075,ok,0,45,45,
round2,16,Standard Benchmarks Fail -- Auditing LLM Agents in Finance Must Prioritize Risk,2025,Financial agents,54.60,9,10,e06f72ec485c85472d1380d5667adb417635c981,ok,9,119,128,
round2,17,Mixing It Up: The Cocktail Effect of Multi-Task Fine-Tuning on LLM Performance - A Case Study in Finance,2024,Benchmarks and datasets,54.25,14,9,20461f6987f1846beb1cae0863d2aac35cba76fe,ok,14,51,65,
round2,18,Will LLMs be Professional at Fund Investment? DeepFund: A Live Arena Perspective,2025,Financial agents,52.95,2,10,67c606df1d20ee804ce586f3aa899652b2639781,ok,2,35,37,
round2,20,"FinSearchComp: Towards a Realistic, Expert-Level Evaluation of Financial Search and Reasoning",2025,Financial agents,51.86,18,9,d9f3ba8b48b68304b611e7d87c3d3ccf9abab32c,ok,18,20,38,
round2,22,"No Language is an Island: Unifying Chinese and English in Financial Large Language Models, Instruction Data, and Benchmarks",2024,Benchmarks and datasets,50.86,11,9,eb419b57023d7de3284b182a5b680195c9095040,ok,11,74,85,
round2,23,"Large Language Model Agents in Finance: A Survey Bridging Research, Practice, and Real-World Deployment",2025,Surveys,50.56,11,9,f56ff0c8f868716244d1c0d490a72f762f1ab64a,ok,11,0,11,
round2,24,FinDER: Financial Dataset for Question Answering and Evaluating Retrieval-Augmented Generation,2025,Trading and investment,50.31,17,7,1717ec916c1e092facaaeb22fd8fe26b172eb388,ok,17,65,82,
round2,25,Unlocking Data Value in Finance: A Study on Distillation and Difficulty-Aware Training,2026,Benchmarks and datasets,49.80,1,10,2781595bb5eb65d89c966feec9f560805d610738,ok,1,42,43,
round2,26,FinTral: A Family of GPT-4 Level Multimodal Financial Large Language Models,2024,Benchmarks and datasets,48.76,53,8,e28e933ed53de3f0097077fa5384d22ce5e959a3,ok,53,55,108,
round2,27,"Empowering Many, Biasing a Few: Generalist Credit Scoring through Large Language Models",2023,Benchmarks and datasets,48.66,23,7,997d1e4c21fb62150f9b6379cdfe12521f0a318c,ok,23,79,102,
round2,28,Open-FinLLMs: Open Multimodal Large Language Models for Financial Applications,2024,Benchmarks and datasets,48.48,48,9,32b18218fa5b48b935b247c0746410b2a2c46a06,ok,48,56,104,
round2,29,TradingGPT: Multi-Agent System with Layered Memory and Distinct Characters for Enhanced Financial Trading Performance,2023,Financial agents,47.76,94,6,95264f2fd070e9ee21dd2d36196a69c91a63e852,ok,94,17,111,
round2,30,Time Travel is Cheating: Going Live with DeepFund for Real-Time Fund Investment Benchmarking,2025,Financial agents,47.48,10,6,cd7438a5c5d731d744e9fce51bf702c6d3a8ffbd,ok,10,76,86,
