source_round,source_rank,source_title,source_year,source_category,source_score,source_citationCount,source_seed_hit_count,source_paperId,status,citation_count,reference_count,related_count,error
round4,1,BondBERT: What we learn when assigning sentiment in the bond market,2025,Financial language models,37.00,1,5,21015b352de7fa3ecaa804345bab13b6e1693c44,ok,1,42,43,
round4,2,Reasoning or Overthinking: Evaluating Large Language Models on Financial Sentiment Analysis,2025,Financial language models,29.49,6,4,e6135f05d90ca1e7a23118aa2a8fc7d86be76d3b,ok,6,41,47,
round4,3,Interpretable LLMs for Credit Risk: A Systematic Review and Taxonomy,2025,"Reports, filings, and risk",28.40,4,4,18296b1ee7bc4c70bd5d44503f705f1b535c712d,ok,4,82,86,
round4,4,ALERA: An Entropy-Based LLM Multi-Agent Framework for Dynamic Risk Quantification in Quantitative Investing,2025,Financial agents,28.20,0,3,12cf7474ba0c98d7c376fe4e47847d1ef35de14f,ok,0,0,0,
round4,5,FALLMAS: An LLM-Based Multi-Agent System for Automated Financial Analysis and Strategic Reporting,2026,Financial agents,28.00,0,3,e8fc98f85d07fc06da515f21b8d4da458edf2bf6,ok,0,0,0,
round4,6,Agentic Portfolio Construction: A Multi-Agent Architecture for LLM-Driven Financial Asset Allocation,2025,Financial agents,27.90,0,3,618884efc04556c0efaf82273066b58b7a25abe1,ok,0,0,0,
round4,7,MarketSenseAI 2.0: Enhancing Stock Analysis Through LLM Agents,2025,Financial agents,27.89,13,2,f937b109dbc2bb4c831af3b63487bf001834cef0,ok,13,51,64,
round4,8,Automated Trading Framework Using LLM-Driven Features and Deep Reinforcement Learning,2025,Trading and investment,27.60,0,2,d032105e2c5a49cb677ff2dfd313aa1761323b62,ok,0,0,0,
round4,9,PyFi: Toward Pyramid-like Financial Image Understanding for VLMs via Adversarial Agents,2025,Financial agents,27.40,0,5,21c8f3c47dcf6d0fbe010fe44283654791c9da79,ok,0,70,70,
round4,10,Trade in Minutes! Rationality-Driven Agentic System for Quantitative Financial Trading,2025,Financial agents,27.35,2,3,c78c601e1fff91dd466cc0ee78db27654e604111,ok,2,55,57,
round4,11,"Adaptive Financial Sentiment Analysis for NIFTY 50 via Instruction-Tuned LLMs ,RAG and Reinforcement Learning Approaches",2025,Financial agents,27.20,0,2,4bd5bf09bcbf0993edaf59c4500dae945dcbb38d,ok,0,24,24,
round4,12,When Agents Trade: Live Multi-Market Trading Benchmark for LLM Agents,2025,Financial agents,27.16,11,2,efbbb0b34d1f07b1c2c3cc2eda3ddec0d9136180,ok,11,44,55,
round4,13,The recent history of large language model in investment and portfolio management: is it a revolution in finance?,2025,Trading and investment,27.00,1,3,e23021a2ab136fa32d80fe211b0714d72b6b2dbe,ok,1,0,1,
round4,14,Generative AI Solutions to Empower Financial Firms,2024,"Reports, filings, and risk",26.43,12,4,6aa25a7fba787219fc7af14411f42b43d2eda1a9,ok,13,0,13,
round4,15,"Multimodal Financial Foundation Models (MFFMs): Progress, Prospects, and Challenges",2025,Financial language models,26.41,7,4,290fe5dfb5d33902c9311aaead75201747acc4d8,ok,7,92,99,
round4,16,"A Comprehensive Review of Gen AI Agents: Applications and Frameworks in Finance, Investments and Risk Domains",2025,Financial agents,26.41,7,2,475f97cb4636acfb86112da16b66fab182bb46c9,ok,7,0,7,
round4,17,ForexAgent: Identifying Trading Strategies in Forex Markets with Large Language Models,2026,Financial agents,26.00,0,3,cd2378d01fae5331b77a9ee02a19acf32c92b2f8,ok,0,0,0,
round4,18,Decision Alignment Protocols: Harmonising AI Agents for Comprehensive Market Assessment,2025,Financial agents,25.90,0,3,6845f676f49d186ea558565b1a53eed96c9cf219,ok,0,0,0,
round4,19,QuantAgent: Price-Driven Multi-Agent LLMs for High-Frequency Trading,2025,Financial agents,25.61,7,2,23aab54ccfd0b5ac0f9995a02ebb7d0765ce4914,ok,7,63,70,
round4,20,FinEvo: From Isolated Backtests to Ecological Market Games for Multi-Agent Financial Strategy Evolution,2026,Financial agents,25.30,1,3,8031a86d94bda86dae3f3b15140251aa5ca95421,ok,1,65,66,
round4,21,Bridging finance and AI: a comprehensive survey of large language models in financial system,2025,Surveys,24.86,5,4,353fde0ffd73490827182e906bd67ed576fb417a,ok,5,0,5,
round4,22,Combining Financial Data and News Articles for Stock Price Movement Prediction Using Large Language Models,2024,Trading and investment,24.43,12,2,fdbdae64864e52929adaada64eb8124c68afd374,ok,12,23,35,
