source_round,source_rank,source_title,source_year,source_category,source_score,source_citationCount,source_seed_hit_count,source_paperId,paperId,title,year,citationCount,venue,authors,doi,arxiv,url,abstract,intents,isInfluential,citation_or_reference
regtech_compliance_focus,1,LLMs for Financial Advisement: A Fairness and Efficacy Study in Personal Decision Making,2023,Other relevant work,,53,,1dddc3cdca26cd434d48110f8d73674bb7f63c4f,cb9a09cae94c5d816e7e9d70f1181283af2466c9,Preliminary Insights on Digital Financial Literacy Gaps Among Rwandan Youth and Considerations for AI-Powered Interventions,2026,0,Sustainability,Pierre Ntakirutimana; Yves Mfitumukiza Ndayisaba; Ganesh Mani; Chimwemwe Chipeta; Patrick Mcsharry; Karen Sowon; Edith Luhanga,10.3390/su18094155,,https://www.semanticscholar.org/paper/cb9a09cae94c5d816e7e9d70f1181283af2466c9,"Africa has the world’s youngest population, and many young adults rely on informal or temporary employment, making digital financial literacy (DFL) critical for long-term financial resilience and sustainable economic development. In this paper, we present findings from a two-phase mixed-methods study. In Phase 1, we surveyed 300 Rwandans aged 18–32 on financial knowledge, digital skills, and financial behaviors to explore key gaps in DFL. Results show modest financial knowledge and moderate digital literacy, with common budgeting and saving practices but key cybersecurity awareness-practice gaps. Gender and education disparities are also evident. To address the low loan literacy observed in Phase 1 findings, we conceived an AI-enabled mobile money loan literacy chatbot and explored user interactions with the chatbot, along with perceived usability and usefulness in Phase 2. Our findings highlight design considerations for promoting intention to adopt DFL interventions. The study aligns with the United Nations Sustainable Development Goals (SDGs) 1 (No Poverty), 5 (Gender Equality), 8 (Decent Work and Economic Growth), 9 (Industry, Innovation and Infrastructure), and 10 (Reduced Inequalities).",,False,citation
regtech_compliance_focus,1,LLMs for Financial Advisement: A Fairness and Efficacy Study in Personal Decision Making,2023,Other relevant work,,53,,1dddc3cdca26cd434d48110f8d73674bb7f63c4f,ddf2df282df5abd6db07881aca2f516d041820a2,BankMathBench: A Benchmark for Numerical Reasoning in Banking Scenarios,2026,0,arXiv.org,Yunseung Lee; Subin Kim; Youngjun Kwak; Jaegul Choo,10.48550/arXiv.2602.17072,2602.17072,https://www.semanticscholar.org/paper/ddf2df282df5abd6db07881aca2f516d041820a2,"Large language models (LLMs)-based chatbots are increasingly being adopted in the financial domain, particularly in digital banking, to handle customer inquiries about products such as deposits, savings, and loans. However, these models still exhibit low accuracy in core banking computations-including total payout estimation, comparison of products with varying interest rates, and interest calculation under early repayment conditions. Such tasks require multi-step numerical reasoning and contextual understanding of banking products, yet existing LLMs often make systematic errors-misinterpreting product types, applying conditions incorrectly, or failing basic calculations involving exponents and geometric progressions. However, such errors have rarely been captured by existing benchmarks. Mathematical datasets focus on fundamental math problems, whereas financial benchmarks primarily target financial documents, leaving everyday banking scenarios underexplored. To address this limitation, we propose BankMathBench, a domain-specific dataset that reflects realistic banking tasks. BankMathBench is organized in three levels of difficulty-basic, intermediate, and advanced-corresponding to single-product reasoning, multi-product comparison, and multi-condition scenarios, respectively. When trained on BankMathBench, open-source LLMs exhibited notable improvements in both formula generation and numerical reasoning accuracy, demonstrating the dataset's effectiveness in enhancing domain-specific reasoning. With tool-augmented fine-tuning, the models achieved average accuracy increases of 57.6%p (basic), 75.1%p (intermediate), and 62.9%p (advanced), representing significant gains over zero-shot baselines. These findings highlight BankMathBench as a reliable benchmark for evaluating and advancing LLMs'numerical reasoning in real-world banking scenarios.",,False,citation
regtech_compliance_focus,1,LLMs for Financial Advisement: A Fairness and Efficacy Study in Personal Decision Making,2023,Other relevant work,,53,,1dddc3cdca26cd434d48110f8d73674bb7f63c4f,664b505c4299d3bb428c5f59f2dad5751913c58f,MARS: Margin-Aware Reward-Modeling with Self-Refinement,2026,0,arXiv.org,Payel Bhattacharjee; O. Simeone; Ravi Tandon,10.48550/arXiv.2602.17658,2602.17658,https://www.semanticscholar.org/paper/664b505c4299d3bb428c5f59f2dad5751913c58f,"Reward modeling is a core component of modern alignment pipelines including RLHF and RLAIF, underpinning policy optimization methods including PPO and TRPO. However, training reliable reward models relies heavily on human-labeled preference data, which is costly and limited, motivating the use of data augmentation. Existing augmentation approaches typically operate at the representation or semantic level and remain agnostic to the reward model's estimation difficulty. In this paper, we propose MARS, an adaptive, margin-aware augmentation and sampling strategy that explicitly targets ambiguous and failure modes of the reward model. Our proposed framework, MARS, concentrates augmentation on low-margin (ambiguous) preference pairs where the reward model is most uncertain, and iteratively refines the training distribution via hard-sample augmentation. We provide theoretical guarantees showing that this strategy increases the average curvature of the loss function hence enhance information and improves conditioning, along with empirical results demonstrating consistent gains over uniform augmentation for robust reward modeling.",,False,citation
regtech_compliance_focus,1,LLMs for Financial Advisement: A Fairness and Efficacy Study in Personal Decision Making,2023,Other relevant work,,53,,1dddc3cdca26cd434d48110f8d73674bb7f63c4f,1744469bb8a5a2c5b462cc5d1f33ce621ab35424,Evaluating LLMs in Finance Requires Explicit Bias Consideration,2026,2,arXiv.org,Yaxuan Kong; Hoyoung Lee; Yoontae Hwang; Alejandro Lopez-Lira; Bradford Levy; Dhagash Mehta; Qingsong Wen; Chanyeol Choi; Yongjae Lee; Stefan Zohren,10.48550/arXiv.2602.14233,2602.14233,https://www.semanticscholar.org/paper/1744469bb8a5a2c5b462cc5d1f33ce621ab35424,"Large Language Models (LLMs) are increasingly integrated into financial workflows, but evaluation practice has not kept up. Finance-specific biases can inflate performance, contaminate backtests, and make reported results useless for any deployment claim. We identify five recurring biases in financial LLM applications. They include look-ahead bias, survivorship bias, narrative bias, objective bias, and cost bias. These biases break financial tasks in distinct ways and they often compound to create an illusion of validity. We reviewed 164 papers from 2023 to 2025 and found that no single bias is discussed in more than 28 percent of studies. This position paper argues that bias in financial LLM systems requires explicit attention and that structural validity should be enforced before any result is used to support a deployment claim. We propose a Structural Validity Framework and an evaluation checklist with minimal requirements for bias diagnosis and future system design. The material is available at https://github.com/Eleanorkong/Awesome-Financial-LLM-Bias-Mitigation.",,False,citation
regtech_compliance_focus,1,LLMs for Financial Advisement: A Fairness and Efficacy Study in Personal Decision Making,2023,Other relevant work,,53,,1dddc3cdca26cd434d48110f8d73674bb7f63c4f,f26abfafe83ec6bb51bf11dd19e9cfb94cb1f968,Schedroid: LLM-Based Interactive Scheduling for Smart Manufacturing,2026,0,International Conference on Big Data and Smart Computing,Lilin Xu; Jingyan Zhu; Ziyang Xiao; Jingrong Xie; Shisi Guan; Han Wu; Xiaojin Fu; W. Yu; Xiongwei Han; Tao Zhong; Mingxuan Yuan; Gang Chen; Dongxiang Zhang,10.1109/BigComp68355.2026.00017,,https://www.semanticscholar.org/paper/f26abfafe83ec6bb51bf11dd19e9cfb94cb1f968,"This work presents Schedroid, an interactive and automated scheduling method to derive the optimal allocation of staff in production lines for smart manufacturing. Driven by natural language-based instructions, Schedroid is built upon a fine-tuned domain-specific LLM trained to decide whether and how to make scheduling changes, together with an incremental optimization modeling framework that adapts to manufacturing production needs in real-time. The mathematical model for the optimal scheduling is represented in textual form and we propose a component linking strategy to capture precise user intention and improve modeling accuracy. Finally, an explanation generator is provided to enhance system friendliness.",,False,citation
regtech_compliance_focus,1,LLMs for Financial Advisement: A Fairness and Efficacy Study in Personal Decision Making,2023,Other relevant work,,53,,1dddc3cdca26cd434d48110f8d73674bb7f63c4f,a2f0577a50b2f3e15a4af256237d440bc222d826,Generative artificial intelligence transformation in African financial institutions: An evaluation of the benefits and risks,2026,0,Development Southern Africa,N. Matlala,10.1080/0376835X.2026.2632039,,https://www.semanticscholar.org/paper/a2f0577a50b2f3e15a4af256237d440bc222d826,"ABSTRACT Generative Artificial Intelligence (GenAI) holds significant transformative potential for Africa’s financial sector by enhancing efficiency, driving innovation, and promoting financial inclusion. This study adopts a theory-driven research approach to develop propositions on how GenAI can reshape financial institutions across African contexts. The analysis acknowledges the continent’s socio-economic and institutional heterogeneity, while recognising the value of cross-country learning and adaptation. The study identifies key benefits of GenAI alongside critical risks and constraints, including data quality and availability, regulatory challenges, cybersecurity and shortages of technical expertise. The study emphasises the role of governments, technology providers, and financial institutions in building an ecosystem that enables ethical, secure, and inclusive deployment of GenAI. The main limitation remains data constraints, and future research should focus on innovative; context sensitive data development strategies suited to Africa’s financial systems. Future research should focus on developing innovative data collection methods that are tailored to Africa continent.",,False,citation
regtech_compliance_focus,1,LLMs for Financial Advisement: A Fairness and Efficacy Study in Personal Decision Making,2023,Other relevant work,,53,,1dddc3cdca26cd434d48110f8d73674bb7f63c4f,fc7451d4ca6bc189c2212073b2d793978588dbb7,Emergent Bias and Fairness in Multi-Agent Decision Systems,2025,1,arXiv.org,Maeve Madigan; Parameswaran Kamalaruban; G. Moynihan; Tom Kempton; David Sutton; Stuart Burrell,10.48550/arXiv.2512.16433,2512.16433,https://www.semanticscholar.org/paper/fc7451d4ca6bc189c2212073b2d793978588dbb7,"Multi-agent systems have demonstrated the ability to improve performance on a variety of predictive tasks by leveraging collaborative decision making. However, the lack of effective evaluation methodologies has made it difficult to estimate the risk of bias, making deployment of such systems unsafe in high stakes domains such as consumer finance, where biased decisions can translate directly into regulatory breaches and financial loss. To address this challenge, we need to develop fairness evaluation methodologies for multi-agent predictive systems and measure the fairness characteristics of these systems in the financial tabular domain. Examining fairness metrics using large-scale simulations across diverse multi-agent configurations, with varying communication and collaboration mechanisms, we reveal patterns of emergent bias in financial decision-making that cannot be traced to individual agent components, indicating that multi-agent systems may exhibit genuinely collective behaviors. Our findings highlight that fairness risks in financial multi-agent systems represent a significant component of model risk, with tangible impacts on tasks such as credit scoring and income estimation. We advocate that multi-agent decision systems must be evaluated as holistic entities rather than through reductionist analyses of their constituent components.",,False,citation
regtech_compliance_focus,1,LLMs for Financial Advisement: A Fairness and Efficacy Study in Personal Decision Making,2023,Other relevant work,,53,,1dddc3cdca26cd434d48110f8d73674bb7f63c4f,5d7e850f00c05fceaca6629468aa7da30269ed51,Model Risk Management in Finance: The Role of Agentic Systems in Risk Mitigation,2025,0,International Conference on Agents,Izunna Okpala; Ashkan Golgoon; Arjun Ravi Kannan Discover,10.1109/ICA67499.2025.00010,,https://www.semanticscholar.org/paper/5d7e850f00c05fceaca6629468aa7da30269ed51,"Model risk management (MRM) has become increasingly important in machine learning due to the reliance on complex models for decision-making in financial applications. This paper explores the integration of an agentic system capable of independent decision-making into machine learning model risk management (MRM) practices. More precisely, we integrated human-in-the-loop to the agentic crew, enabling them to work together efficiently to complete challenging MRM tasks. The paper outlines the architecture of the agentic crew, which consist of a judge agent along with role-specific agents to facilitate comprehensive model evaluations, ensuring adherence to regulatory standards and enhancing the conceptual soundness of the evaluated procedure. The application of agentic systems in MRM is illustrated through case studies in fraud detection and portfolio credit risk assessment. Our findings suggest that adopting human-centered agentic systems can lead to more informed decision-making processes, identifying whether the model development followed an established procedure, assessing reproducibility, bias and fairness, and monitoring changes in behavior when unknown inputs are introduced.",,False,citation
regtech_compliance_focus,1,LLMs for Financial Advisement: A Fairness and Efficacy Study in Personal Decision Making,2023,Other relevant work,,53,,1dddc3cdca26cd434d48110f8d73674bb7f63c4f,8df105873f6fa7868bc2e58d190c11951cf2daf8,"Adopting Large Language Models in the Construction Industry: Drivers, Barriers, and Strategic Implications from China",2025,1,Buildings,Liang Ma; Xinyue Zhao; Rui Jiang; Chengke Wu; Longhui Liao; Zhile Yang; Jia Tan,10.3390/buildings15234296,,https://www.semanticscholar.org/paper/8df105873f6fa7868bc2e58d190c11951cf2daf8,"The rapid advancement of AI, especially large language models (LLMs), brings opportunities and challenges to industries. In construction, LLMs can enhance project coordination, support decision-making and reduce workload, but adoption is limited by hallucination, data security and domain complexity. This study investigates the current state of LLM adoption in China’s construction industry through a four-step approach, including a comprehensive literature review to identify potential drivers and barriers, questionnaire design and data collection for empirical analysis, and the application of the Entropy Weight Method (EWM) to quantify and rank the relative importance of each factor. The findings reveal that the top drivers originate at the company level, including strategic partnerships, internal research teams, and staff training—highlighting the central role of organizational readiness in enabling LLM integration. Conversely, the most critical barriers are embedded in the construction domain itself, including knowledge gaps, workflow integration, and data heterogeneity, which reflect structural limitations in the sector. Although LLM implementation remains in its early stages, survey responses show widespread optimism among stakeholders regarding its future potential. The study proposes several actionable strategies for both construction firms and policymakers to facilitate effective LLM adoption. Moreover, the identified drivers and barriers are not exclusive to construction but are also relevant to other digitally transforming sectors—such as manufacturing, healthcare, and energy—offering broader implications for AI adoption in complex, project-based environments.",,False,citation
regtech_compliance_focus,1,LLMs for Financial Advisement: A Fairness and Efficacy Study in Personal Decision Making,2023,Other relevant work,,53,,1dddc3cdca26cd434d48110f8d73674bb7f63c4f,cc4dcdd2fe11fa0fbf18021c3514c97febbeb179,"On a Quest for Financial Literacy, are Large Language Models helpful?",2025,0,2025 IEEE International Conference on Advances in Data-Driven Analytics And Intelligent Systems (ADACIS),Stacey Taylor,10.1109/ADACIS65663.2025.11436703,,https://www.semanticscholar.org/paper/cc4dcdd2fe11fa0fbf18021c3514c97febbeb179,"Financial literacy is a well-established area of research. The incorporation of Large Language Models (LLMs) into FinTech solutions has opened up a new avenue of research to determine how LLMs can be used to interact with users and improve financial literacy. Following previous research that focused purely on the GPT models, we have extended this work to investigate how Gemini, Copilot, and DeepSeek respond to basic accounting and finance questions from users, ranging from financially unsophisticated to expert. To investigate this, we use Cosine Similarity and the Flesch Reading Ease Score. The Cosine Similarity results show that the LLMs struggle with distinguishing between users, often defaulting to communicating as an expert. We also conduct a post-hoc analysis where the generated texts are analyzed by an accounting expert. We find that some LLM generated answers are misleading, which could place LLM users with little to no financial literacy at a significant disadvantage, and could lead to them making disastrous financial decisions.",,False,citation
